Id,bikes
1,1.24120811
2,3.431675063
3,2.799228432
4,2.907592492
5,1.332706354
6,13.65783381
7,4.943951681
8,0.721792226
9,4.336834543
10,1.001624284
11,7.340577701
12,8.469246315
13,3.083562514
14,6.497805377
15,2.199565034
16,3.324103613
17,2.871482897
18,2.404634757
19,9.203452831
20,3.007773256
21,7.72647371
22,2.530760738
23,3.513547176
24,7.587361363
25,4.87229933
26,7.769026612
27,4.230375153
28,3.353063187
29,4.823008552
30,2.424253324
31,2.322022512
32,3.115930836
33,2.631904716
34,2.527227019
35,2.371319208
36,3.230703562
37,5.87394909
38,2.689775287
39,4.107623985
40,3.221577868
41,1.633233067
42,1.206542234
43,3.033782378
44,3.456829613
45,5.53155688
46,2.165145144
47,9.540063449
48,5.015564017
49,4.240197034
50,2.353038994
51,3.484586703
52,6.883241499
53,3.728566293
54,2.086037892
55,2.954150795
56,3.754663744
57,2.443578099
58,2.791748566
59,3.286796403
60,2.859817764
61,0.599169092
62,9.584609075
63,6.954739735
64,11.31250436
65,0.981752784
66,1.317948681
67,-0.904476359
68,1.643482664
69,3.461546616
70,3.11897149
71,3.710674182
72,11.86465366
73,11.64424448
74,0.112039079
75,8.294197292
76,4.332832436
77,5.908920094
78,4.06107705
79,7.350484422
80,2.7686118
81,4.641532157
82,6.669763661
83,0.598609132
84,7.71475304
85,3.495378778
86,5.351187381
87,3.618849025
88,1.044539381
89,3.629825946
90,0.988729406
91,19.30252079
92,14.74225394
93,2.976574165
94,16.07287146
95,9.419580851
96,5.438306872
97,6.929739721
98,15.77469087
99,17.56295536
100,0.702297306
101,1.361432543
102,9.932300398
103,1.732369771
104,14.53493296
105,9.143648236
106,3.396068728
107,6.979651354
108,3.800097067
109,11.25669995
110,14.76433448
111,11.67613239
112,16.9182718
113,10.78822524
114,8.667777938
115,13.01035468
116,20.02382444
117,10.0238562
118,9.748882187
119,22.05810798
120,8.473358188
121,2.9620556
122,7.783894172
123,7.319446267
124,4.176287001
125,6.956094072
126,5.029192473
127,12.93237606
128,2.908599516
129,2.760507783
130,6.465592369
131,13.4293669
132,8.150205539
133,10.48508033
134,6.610245307
135,3.198992578
136,13.87278143
137,7.097475426
138,1.67087495
139,2.382178385
140,8.329254801
141,3.441223026
142,5.694155172
143,2.764295164
144,7.620441535
145,7.244230725
146,5.526874162
147,5.398858033
148,7.297144686
149,0.956321159
150,2.291632183
151,-0.49671177
152,9.426535997
153,-0.599100941
154,14.97891882
155,5.727635187
156,7.248255924
157,5.113152864
158,18.25295112
159,0.707560615
160,15.38854475
161,-0.439610428
162,4.187443211
163,0.442178867
164,6.951712416
165,3.126005799
166,16.89536859
167,0.418088263
168,1.187639
169,11.97162884
170,2.561706983
171,9.845644168
172,3.98037889
173,3.146186489
174,10.10998784
175,11.73114978
176,14.00759983
177,4.745049662
178,4.809078214
179,0.24046926
180,7.010828296
181,1.955673682
182,0.25042172
183,6.104229915
184,0.288655868
185,2.229425919
186,1.582763965
187,0.168858723
188,7.660954891
189,0.533946972
190,3.568996769
191,3.267100463
192,5.676615271
193,3.363148985
194,2.632671827
195,3.382184748
196,1.030084908
197,7.429912648
198,9.164424091
199,2.676702164
200,4.724510418
201,11.81933531
202,3.313539451
203,3.709636885
204,9.705103005
205,16.55490648
206,3.117802356
207,6.177478822
208,0.122449779
209,9.945859497
210,0.904830077
211,-0.003868153
212,1.009443427
213,3.217532867
214,6.254826448
215,2.147929586
216,13.21420616
217,3.101668545
218,12.81373588
219,10.46797139
220,13.03532575
221,0.674216145
222,9.773349148
223,5.918821646
224,2.937902193
225,27.8227328
226,6.329702127
227,0.289516172
228,1.01348106
229,21.1770811
230,1.469493111
231,3.801800094
232,2.545998716
233,1.69146842
234,19.77577039
235,9.372686702
236,9.115412184
237,2.37426022
238,7.198787643
239,22.29141606
240,2.192019309
241,5.916833996
242,3.001175691
243,12.20708261
244,5.743932379
245,4.256753613
246,5.020141949
247,5.227385304
248,6.140256671
249,3.763191665
250,3.290643433
251,3.334015964
252,3.38877467
253,7.380055281
254,3.595449207
255,14.74255594
256,12.12434567
257,10.15494013
258,3.401927275
259,2.655277469
260,8.370108349
261,5.739941108
262,3.02309721
263,4.147236749
264,9.153984658
265,9.790760395
266,3.980993264
267,10.68865314
268,5.634073986
269,11.68867512
270,4.71900353
271,3.175494251
272,2.56710934
273,1.853462166
274,11.49008886
275,2.726631562
276,4.468519961
277,3.190018665
278,4.610311058
279,3.465648028
280,1.918896212
281,5.242192408
282,2.289579211
283,1.228751068
284,5.742492423
285,9.040747761
286,4.350973039
287,1.779598965
288,1.187867798
289,2.095411697
290,6.242440888
291,0.861778982
292,3.288821481
293,4.670281336
294,2.596970735
295,3.090394021
296,4.74730999
297,2.10155631
298,2.290314644
299,5.322356901
300,2.617360495
301,2.059594996
302,3.74417335
303,1.870984216
304,2.195981732
305,4.41043845
306,3.116772871
307,2.562490141
308,1.189976125
309,3.977636814
310,1.622276309
311,1.029563644
312,1.833392129
313,1.925871542
314,1.65479597
315,2.565690748
316,2.29815631
317,1.736572477
318,3.067155228
319,3.265550753
320,2.002712578
321,2.408298345
322,1.451091567
323,7.450810537
324,4.59277932
325,1.555956623
326,4.087180987
327,1.637967772
328,1.025874214
329,3.731414913
330,3.166965818
331,2.026649072
332,12.81180459
333,3.205695244
334,1.550108501
335,4.277667544
336,0.925988125
337,9.630389678
338,14.4387947
339,5.110834802
340,-0.078993845
341,17.29690967
342,7.794142762
343,-0.468794496
344,10.21799114
345,-0.572767901
346,2.502525681
347,0.97089569
348,21.14169183
349,4.955634633
350,7.812825978
351,6.051945446
352,10.99848627
353,6.365310444
354,2.505882031
355,1.479162475
356,4.904234991
357,6.927928533
358,8.440562486
359,14.5904653
360,10.34197096
361,2.651859896
362,4.442516417
363,2.709030474
364,4.723194967
365,5.446422975
366,0.433441789
367,2.528557279
368,6.893843865
369,2.230492971
370,4.134511175
371,6.185721752
372,3.889136083
373,4.648167936
374,5.104205611
375,14.40070196
376,12.37464563
377,1.832810778
378,5.398502172
379,4.34010458
380,3.530923141
381,5.595496026
382,10.30331953
383,4.956358927
384,9.484773492
385,8.427847535
386,4.553052702
387,9.282316273
388,3.234831365
389,14.85826631
390,5.96107566
391,0.470584836
392,4.432413096
393,5.802790963
394,9.237501256
395,2.706566162
396,1.366513868
397,14.45770164
398,13.26540065
399,12.90205988
400,9.192520249
401,3.515891821
402,6.230579712
403,7.711737383
404,9.385440068
405,11.88421612
406,2.136054518
407,7.759875702
408,17.54664689
409,6.625380791
410,11.69252931
411,0.487210134
412,11.44384797
413,7.426069865
414,6.863317559
415,10.4906213
416,8.910793668
417,9.88267162
418,6.831096518
419,2.243158372
420,12.69052877
421,6.61691868
422,4.837513078
423,7.780357616
424,2.241918624
425,3.517956196
426,6.667785231
427,6.490133409
428,11.25660107
429,12.89250732
430,14.7835742
431,14.08440656
432,1.314072758
433,9.080882413
434,4.374275983
435,3.673383461
436,6.726186035
437,11.46991147
438,4.619310463
439,8.068629916
440,9.938775259
441,5.973374618
442,5.658897387
443,2.906761499
444,7.854252196
445,7.971607292
446,9.705918721
447,5.675685974
448,8.956206941
449,6.096924093
450,5.481670249
451,1.041371613
452,4.931391707
453,3.745863367
454,1.70090547
455,7.082903061
456,9.752670648
457,2.920297749
458,1.438302415
459,5.685714199
460,2.209677751
461,8.394447831
462,5.004739877
463,11.79023568
464,3.996192204
465,6.983396191
466,10.88110576
467,3.92477871
468,1.144751491
469,8.642784769
470,6.777733167
471,7.305951911
472,3.154524784
473,2.639174774
474,6.815768397
475,0.449833325
476,4.89261143
477,3.153252234
478,4.178727753
479,-0.444518298
480,4.849024668
481,5.106947692
482,3.023071715
483,9.077222877
484,5.633932534
485,2.695799598
486,10.27112446
487,7.562945432
488,3.497690224
489,12.23347689
490,7.068375668
491,7.036038474
492,11.32750837
493,1.184139873
494,1.054389088
495,5.025947573
496,5.136855287
497,4.876655373
498,2.279308602
499,13.07490471
500,7.097396094
501,11.37366886
502,6.289613487
503,12.37451062
504,12.10047265
505,10.20322256
506,6.997497499
507,3.972170778
508,2.596667428
509,7.070179012
510,0.816810191
511,-2.423516277
512,8.981113978
513,15.1043734
514,12.06146193
515,7.54196643
516,1.626979946
517,15.22005517
518,6.381341082
519,8.819815927
520,10.1645522
521,7.734002909
522,11.1804349
523,9.371981497
524,15.05438022
525,0.700558934
526,14.20928684
527,6.520199734
528,9.399849121
529,12.65328677
530,9.860638941
531,3.762933843
532,9.086636396
533,5.464837589
534,9.257707991
535,14.55938223
536,10.52608565
537,1.620317409
538,7.764485859
539,10.43010635
540,4.6029035
541,16.40484565
542,20.59155538
543,23.03783376
544,19.38902285
545,11.07846041
546,20.05585236
547,20.85544202
548,19.49501645
